Date,Unemployment Rate,VIX,CPI,T10Y-2Y,S&P500 Adj Close,S&P 500 Volume
2020-06-03,11.0,25.66,256.986,0.58,"3,122.87","6,005,560,000"
2020-06-04,11.0,25.81,256.986,0.63,"3,112.35","6,451,290,000"
2020-06-05,11.0,24.52,256.986,0.69,"3,193.93","8,639,300,000"
2020-06-08,11.0,25.81,256.986,0.66,"3,232.39","8,498,300,000"
2020-06-09,11.0,27.57,256.986,0.64,"3,207.18","6,410,930,000"
2020-06-10,11.0,27.57,256.986,0.58,"3,190.14","6,598,870,000"
2020-06-11,11.0,40.79,256.986,0.47,"3,002.10","7,037,320,000"
2020-06-12,11.0,36.09,256.986,0.52,"3,041.31","5,845,330,000"
2020-06-15,11.0,34.4,256.986,0.52,"3,066.59","5,757,480,000"
2020-06-16,11.0,33.67,256.986,0.54,"3,124.74","5,845,810,000"
2020-06-17,11.0,33.47,256.986,0.55,"3,113.49","4,560,450,000"
2020-06-18,11.0,32.94,256.986,0.52,"3,115.34","4,448,690,000"
2020-06-19,11.0,35.12,256.986,0.51,"3,097.74","8,346,650,000"
2020-06-22,11.0,31.77,256.986,0.52,"3,117.86","4,686,690,000"
2020-06-23,11.0,31.37,256.986,0.54,"3,131.29","4,711,850,000"
2020-06-24,11.0,33.84,256.986,0.5,"3,050.33","5,597,680,000"
2020-06-25,11.0,32.22,256.986,0.51,"3,083.76","4,847,690,000"
2020-06-26,11.0,34.73,256.986,0.47,"3,009.05","8,107,850,000"
2020-06-29,11.0,31.78,256.986,0.48,"3,053.24","4,473,970,000"
2020-06-30,11.0,30.43,256.986,0.5,"3,100.29","4,705,850,000"
2020-07-01,10.2,28.62,258.278,0.52,"3,115.86","4,449,230,000"
2020-07-02,10.2,27.68,258.278,0.52,"3,130.01","4,197,720,000"
2020-07-03,10.2,.,258.278,.,"3,130.01","4,197,720,000"
2020-07-06,10.2,27.94,258.278,0.53,"3,179.72","4,759,160,000"
2020-07-07,10.2,29.43,258.278,0.49,"3,145.32","4,571,330,000"
2020-07-08,10.2,28.08,258.278,0.51,"3,169.94","4,937,310,000"
2020-07-09,10.2,29.26,258.278,0.46,"3,152.05","4,843,650,000"
2020-07-10,10.2,27.29,258.278,0.49,"3,185.04","4,524,190,000"
2020-07-13,10.2,32.19,258.278,0.48,"3,155.22","4,902,440,000"
2020-07-14,10.2,29.52,258.278,0.49,"3,197.52","4,507,140,000"
2020-07-15,10.2,27.76,258.278,0.48,"3,226.56","4,686,830,000"
2020-07-16,10.2,28,258.278,0.46,"3,215.57","3,972,860,000"
2020-07-17,10.2,25.68,258.278,0.5,"3,224.73","4,012,850,000"
2020-07-20,10.2,24.46,258.278,0.46,"3,251.84","3,979,340,000"
2020-07-21,10.2,24.84,258.278,0.47,"3,257.30","4,556,610,000"
2020-07-22,10.2,24.32,258.278,0.46,"3,276.02","4,267,160,000"
2020-07-23,10.2,26.08,258.278,0.43,"3,235.66","4,296,760,000"
2020-07-24,10.2,25.84,258.278,0.45,"3,215.63","3,689,410,000"
2020-07-27,10.2,24.74,258.278,0.47,"3,239.41","3,970,310,000"
2020-07-28,10.2,25.44,258.278,0.45,"3,218.44","4,053,180,000"
2020-07-29,10.2,24.1,258.278,0.46,"3,258.44","4,478,200,000"
2020-07-30,10.2,24.76,258.278,0.44,"3,246.22","4,264,920,000"
2020-07-31,10.2,24.46,258.278,0.44,"3,271.12","5,007,530,000"
2020-08-03,8.4,24.28,259.411,0.45,"3,294.61","4,438,940,000"
2020-08-04,8.4,23.76,259.411,0.41,"3,306.51","4,414,380,000"
2020-08-05,8.4,22.99,259.411,0.44,"3,327.77","4,535,060,000"
2020-08-06,8.4,22.65,259.411,0.44,"3,349.16","4,278,930,000"
2020-08-07,8.4,22.21,259.411,0.44,"3,351.28","4,110,030,000"
2020-08-10,8.4,22.13,259.411,0.45,"3,360.47","4,327,920,000"
2020-08-11,8.4,24.03,259.411,0.48,"3,333.69","4,880,540,000"
2020-08-12,8.4,22.28,259.411,0.53,"3,380.35","3,772,250,000"
2020-08-13,8.4,22.13,259.411,0.55,"3,373.43","3,438,730,000"
2020-08-14,8.4,22.05,259.411,0.57,"3,372.85","3,200,060,000"
2020-08-17,8.4,21.35,259.411,0.55,"3,381.99","3,460,330,000"
2020-08-18,8.4,21.51,259.411,0.53,"3,389.78","3,669,550,000"
2020-08-19,8.4,22.54,259.411,0.54,"3,374.85","3,679,480,000"
2020-08-20,8.4,22.72,259.411,0.52,"3,385.51","3,431,040,000"
2020-08-21,8.4,22.54,259.411,0.48,"3,397.16","3,505,010,000"
2020-08-24,8.4,22.37,259.411,0.51,"3,431.28","3,743,410,000"
2020-08-25,8.4,22.03,259.411,0.54,"3,443.62","3,627,650,000"
2020-08-26,8.4,23.27,259.411,0.53,"3,478.73","3,780,530,000"
2020-08-27,8.4,24.47,259.411,0.58,"3,484.55","3,955,890,000"
2020-08-28,8.4,22.96,259.411,0.6,"3,508.01","3,868,510,000"
2020-08-31,8.4,26.41,259.411,0.58,"3,500.31","4,348,280,000"
2020-09-01,7.9,26.12,260.029,0.55,"3,526.65","4,101,490,000"
2020-09-02,7.9,26.57,260.029,0.52,"3,580.84","4,295,640,000"
2020-09-03,7.9,33.6,260.029,0.5,"3,455.06","4,911,830,000"
2020-09-04,7.9,30.75,260.029,0.58,"3,426.96","4,438,720,000"
2020-09-07,7.9,.,260.029,.,"3,426.96","4,438,720,000"
2020-09-08,7.9,31.46,260.029,0.55,"3,331.84","4,694,330,000"
2020-09-09,7.9,28.81,260.029,0.57,"3,398.96","3,932,520,000"
2020-09-10,7.9,29.71,260.029,0.54,"3,339.19","4,208,630,000"
2020-09-11,7.9,26.87,260.029,0.54,"3,340.97","3,710,090,000"
2020-09-14,7.9,25.85,260.029,0.54,"3,383.54","3,839,580,000"
2020-09-15,7.9,25.59,260.029,0.54,"3,401.20","4,057,190,000"
2020-09-16,7.9,26.04,260.029,0.55,"3,385.49","4,718,900,000"
2020-09-17,7.9,26.46,260.029,0.56,"3,357.01","4,379,840,000"
2020-09-18,7.9,25.83,260.029,0.56,"3,319.47","7,076,400,000"
2020-09-21,7.9,27.78,260.029,0.54,"3,281.06","4,836,070,000"
2020-09-22,7.9,26.86,260.029,0.55,"3,315.57","3,974,510,000"
2020-09-23,7.9,28.58,260.029,0.54,"3,236.92","4,378,650,000"
2020-09-24,7.9,28.51,260.029,0.53,"3,246.59","4,601,920,000"
2020-09-25,7.9,26.38,260.029,0.54,"3,298.46","3,803,330,000"
2020-09-28,7.9,26.19,260.029,0.53,"3,351.60","3,950,910,000"
2020-09-29,7.9,26.27,260.029,0.55,"3,335.47","3,661,590,000"
2020-09-30,7.9,26.37,260.029,0.56,"3,363.00","4,738,640,000"
2020-10-01,6.9,26.7,260.286,0.54,"3,380.80","4,076,340,000"
2020-10-02,6.9,27.63,260.286,0.57,"3,348.42","3,975,180,000"
2020-10-05,6.9,27.96,260.286,0.64,"3,408.60","3,692,720,000"
2020-10-06,6.9,29.48,260.286,0.62,"3,360.97","4,453,390,000"
2020-10-07,6.9,28.06,260.286,0.65,"3,419.44","3,814,750,000"
2020-10-08,6.9,26.36,260.286,0.65,"3,446.83","3,867,640,000"
2020-10-09,6.9,25,260.286,0.63,"3,477.14","3,944,090,000"
2020-10-12,6.9,25.07,260.286,.,"3,534.22","3,435,760,000"
2020-10-13,6.9,26.07,260.286,0.58,"3,511.93","3,611,100,000"
2020-10-14,6.9,26.4,260.286,0.59,"3,488.67","3,858,510,000"
2020-10-15,6.9,26.97,260.286,0.6,"3,483.34","3,724,550,000"
2020-10-16,6.9,27.41,260.286,0.62,"3,483.81","4,688,030,000"
2020-10-19,6.9,29.18,260.286,0.62,"3,426.92","4,091,080,000"
2020-10-20,6.9,29.35,260.286,0.67,"3,443.12","3,917,850,000"
2020-10-21,6.9,28.65,260.286,0.69,"3,435.56","4,103,960,000"
2020-10-22,6.9,28.11,260.286,0.71,"3,453.49","4,172,060,000"
2020-10-23,6.9,27.55,260.286,0.67,"3,465.39","3,651,600,000"
2020-10-27,6.9,33.35,260.286,0.63,"3,390.68","3,962,400,000"
2020-10-28,6.9,40.28,260.286,0.63,"3,271.03","5,139,970,000"
2020-10-29,6.9,37.59,260.286,0.69,"3,310.11","4,911,860,000"
2020-10-30,6.9,38.02,260.286,0.74,"3,269.96","4,843,930,000"
2020-11-02,6.7,37.13,260.813,0.71,"3,310.24","4,314,690,000"
2020-11-03,6.7,35.55,260.813,0.73,"3,369.16","4,241,380,000"
2020-11-04,6.7,29.57,260.813,0.64,"3,443.44","4,790,400,000"
2020-11-05,6.7,27.58,260.813,0.65,"3,510.45","4,858,150,000"
2020-11-06,6.7,24.86,260.813,0.67,"3,509.44","4,842,460,000"
2020-11-09,6.7,25.75,260.813,0.79,"3,550.50","8,570,510,000"
2020-11-10,6.7,24.8,260.813,0.79,"3,545.53","6,037,470,000"
2020-11-11,6.7,23.45,260.813,.,"3,572.66","4,635,560,000"
2020-11-12,6.7,25.35,260.813,0.71,"3,537.01","4,909,660,000"
2020-11-13,6.7,23.1,260.813,0.72,"3,585.15","4,719,580,000"
2020-11-16,6.7,22.45,260.813,0.72,"3,626.91","5,295,510,000"
2020-11-17,6.7,22.71,260.813,0.69,"3,609.53","4,812,180,000"
2020-11-18,6.7,23.84,260.813,0.72,"3,567.79","5,284,810,000"
2020-11-19,6.7,23.11,260.813,0.68,"3,581.87","4,363,370,000"
2020-11-20,6.7,23.7,260.813,0.67,"3,557.54","4,236,370,000"
2020-11-23,6.7,22.66,260.813,0.7,"3,577.59","5,057,550,000"
2020-11-24,6.7,21.64,260.813,0.72,"3,635.41","6,280,290,000"
2020-11-25,6.7,21.25,260.813,0.71,"3,629.65","4,910,440,000"
2020-11-26,6.7,.,260.813,.,"3,629.65","4,910,440,000"
2020-11-27,6.7,20.84,260.813,0.68,"3,638.35","2,778,390,000"
2020-11-30,6.7,20.57,260.813,0.68,"3,621.63","6,308,410,000"
2020-12-01,6.7,20.77,262.035,0.75,"3,662.45","5,418,480,000"
2020-12-02,6.7,21.17,262.035,0.79,"3,669.01","5,041,250,000"
2020-12-03,6.7,21.28,262.035,0.76,"3,666.72","5,065,340,000"
2020-12-04,6.7,20.79,262.035,0.81,"3,699.12","5,099,620,000"
2020-12-07,6.7,21.3,262.035,0.8,"3,691.96","4,804,500,000"
2020-12-08,6.7,20.68,262.035,0.78,"3,702.25","4,584,390,000"
2020-12-09,6.7,22.27,262.035,0.79,"3,672.82","5,232,800,000"
2020-12-10,6.7,22.52,262.035,0.78,"3,668.10","4,658,480,000"
2020-12-11,6.7,23.31,262.035,0.79,"3,663.46","4,375,470,000"
2020-12-14,6.7,24.72,262.035,0.77,"3,647.49","4,623,850,000"
2020-12-15,6.7,22.89,262.035,0.81,"3,694.62","4,387,080,000"
2020-12-16,6.7,22.5,262.035,0.79,"3,701.17","4,067,040,000"
2020-12-17,6.7,21.93,262.035,0.81,"3,722.48","4,192,810,000"
2020-12-18,6.7,21.57,262.035,0.82,"3,709.41","7,097,100,000"
2020-12-21,6.7,25.16,262.035,0.82,"3,694.92","4,748,580,000"
2020-12-22,6.7,24.23,262.035,0.8,"3,687.26","4,053,310,000"
2020-12-23,6.7,23.31,262.035,0.83,"3,690.01","3,779,160,000"
2020-12-28,6.7,21.7,262.035,0.81,"3,735.36","3,535,460,000"
2020-12-29,6.7,23.08,262.035,0.82,"3,727.04","3,393,290,000"
2020-12-30,6.7,22.77,262.035,0.81,"3,732.04","3,154,850,000"
2021-01-04,6.3,26.97,262.65,0.82,"3,700.65","5,015,000,000"
2021-01-05,6.3,25.34,262.65,0.83,"3,726.86","4,591,020,000"
2021-01-06,6.3,25.07,262.65,0.9,"3,748.14","6,064,110,000"
2021-01-07,6.3,22.37,262.65,0.94,"3,803.79","5,099,160,000"
2021-01-08,6.3,21.56,262.65,0.99,"3,824.68","4,773,040,000"
2021-01-11,6.3,24.08,262.65,1.01,"3,799.61","4,465,430,000"
2021-01-12,6.3,23.33,262.65,1.01,"3,801.19","4,994,950,000"
2021-01-13,6.3,22.21,262.65,0.96,"3,809.84","4,602,510,000"
2021-01-14,6.3,23.25,262.65,0.99,"3,795.54","5,198,480,000"
2021-01-15,6.3,24.34,262.65,0.98,"3,768.25","5,369,820,000"
2021-01-18,6.3,.,262.65,.,"3,768.25","5,369,820,000"
2021-01-19,6.3,23.24,262.65,0.96,"3,798.91","5,014,440,000"
2021-01-20,6.3,21.58,262.65,0.97,"3,851.85","4,566,190,000"
2021-01-21,6.3,21.32,262.65,0.99,"3,853.07","4,501,760,000"
2021-01-22,6.3,21.91,262.65,0.97,"3,841.47","5,110,890,000"
2021-01-25,6.3,23.19,262.65,0.92,"3,855.36","7,000,840,000"
2021-01-26,6.3,23.02,262.65,0.94,"3,849.62","6,137,500,000"
2021-01-27,6.3,37.21,262.65,0.92,"3,750.77","9,976,520,000"
2021-01-28,6.3,30.21,262.65,0.95,"3,787.38","6,992,770,000"
2021-01-29,6.3,33.09,262.65,1,"3,714.24","6,643,370,000"
2021-02-01,6.2,30.24,263.638,0.98,"3,773.86","5,436,230,000"
2021-02-02,6.2,25.56,263.638,1.01,"3,826.31","5,514,090,000"
2021-02-03,6.2,22.91,263.638,1.04,"3,830.17","4,864,870,000"
2021-02-04,6.2,21.77,263.638,1.04,"3,871.74","4,879,240,000"
2021-02-05,6.2,20.87,263.638,1.1,"3,886.83","4,879,470,000"
2021-02-08,6.2,21.24,263.638,1.08,"3,915.59","4,648,360,000"
2021-02-09,6.2,21.63,263.638,1.07,"3,911.23","4,568,320,000"
2021-02-10,6.2,21.99,263.638,1.04,"3,909.88","4,837,070,000"
2021-02-11,6.2,21.25,263.638,1.05,"3,916.38","4,590,960,000"
2021-02-12,6.2,19.97,263.638,1.09,"3,934.83","4,135,060,000"
2021-02-15,6.2,.,263.638,.,"3,934.83","4,135,060,000"
2021-02-16,6.2,21.46,263.638,1.17,"3,932.59","5,058,990,000"
2021-02-17,6.2,21.5,263.638,1.18,"3,931.33","4,730,650,000"
2021-02-18,6.2,22.49,263.638,1.18,"3,913.97","4,793,650,000"
2021-02-19,6.2,22.05,263.638,1.23,"3,906.71","4,845,320,000"
2021-02-22,6.2,23.45,263.638,1.26,"3,876.50","5,917,100,000"
2021-02-23,6.2,23.11,263.638,1.26,"3,881.37","6,296,610,000"
2021-02-24,6.2,21.34,263.638,1.26,"3,925.43","6,012,790,000"
2021-02-25,6.2,28.89,263.638,1.37,"3,829.34","6,547,470,000"
2021-02-26,6.2,27.95,263.638,1.3,"3,811.15","6,526,070,000"
2021-03-01,6.1,23.35,264.914,1.32,"3,901.82","5,114,820,000"
2021-03-02,6.1,24.1,264.914,1.29,"3,870.29","5,536,010,000"
2021-03-03,6.1,26.67,264.914,1.33,"3,819.72","6,173,660,000"
2021-03-04,6.1,28.57,264.914,1.4,"3,768.47","7,195,400,000"
2021-03-05,6.1,24.66,264.914,1.42,"3,841.94","6,851,070,000"
2021-03-08,6.1,25.47,264.914,1.42,"3,821.35","5,871,710,000"
2021-03-09,6.1,24.03,264.914,1.38,"3,875.44","5,513,560,000"
2021-03-10,6.1,22.56,264.914,1.37,"3,898.81","5,847,380,000"
2021-03-11,6.1,21.91,264.914,1.4,"3,939.34","5,312,880,000"
2021-03-12,6.1,20.69,264.914,1.5,"3,943.34","4,476,280,000"
2021-03-15,6.1,20.03,264.914,1.48,"3,968.94","4,900,100,000"
2021-03-16,6.1,19.79,264.914,1.47,"3,962.71","4,613,080,000"
2021-03-17,6.1,19.23,264.914,1.5,"3,974.12","4,561,660,000"
2021-03-18,6.1,21.58,264.914,1.55,"3,915.46","5,118,590,000"
2021-03-19,6.1,20.95,264.914,1.58,"3,913.10","7,757,420,000"
2021-03-22,6.1,18.88,264.914,1.54,"3,940.59","4,316,260,000"
2021-03-23,6.1,20.3,264.914,1.48,"3,910.52","4,669,010,000"
2021-03-24,6.1,21.2,264.914,1.48,"3,889.14","4,783,020,000"
2021-03-25,6.1,19.81,264.914,1.49,"3,909.52","4,948,340,000"
2021-03-26,6.1,18.86,264.914,1.53,"3,974.54","5,483,160,000"
2021-03-29,6.1,20.74,264.914,1.59,"3,971.09","4,628,180,000"
2021-03-30,6.1,19.61,264.914,1.57,"3,958.55","4,121,510,000"
2021-03-31,6.1,19.4,264.914,1.58,"3,972.89","4,578,050,000"
2021-04-01,6.1,17.33,266.67,1.52,"4,019.87","4,162,130,000"
2021-04-06,6.1,18.12,266.67,1.51,"4,073.94","4,081,270,000"
2021-04-07,6.1,17.16,266.67,1.52,"4,079.95","4,120,810,000"
2021-04-08,6.1,16.95,266.67,1.5,"4,097.17","3,907,100,000"
2021-04-09,6.1,16.69,266.67,1.51,"4,128.80","3,640,390,000"
2021-04-12,6.1,16.91,266.67,1.51,"4,127.99","3,588,900,000"
2021-04-13,6.1,16.65,266.67,1.48,"4,141.59","3,734,720,000"
2021-04-14,6.1,16.99,266.67,1.48,"4,124.66","3,985,350,000"
2021-04-15,6.1,16.57,266.67,1.4,"4,170.42","4,033,420,000"
2021-04-16,6.1,16.25,266.67,1.43,"4,185.47","4,163,820,000"
2021-04-19,6.1,17.29,266.67,1.45,"4,163.26","3,810,290,000"
2021-04-20,6.1,18.68,266.67,1.43,"4,134.94","4,342,650,000"
2021-04-21,6.1,17.5,266.67,1.42,"4,173.42","3,887,250,000"
2021-04-22,6.1,18.71,266.67,1.41,"4,134.98","4,245,140,000"
2021-04-23,6.1,17.33,266.67,1.42,"4,180.17","3,569,880,000"
2021-04-26,6.1,17.64,266.67,1.4,"4,187.62","3,748,320,000"
2021-04-27,6.1,17.56,266.67,1.46,"4,186.72","3,710,700,000"
2021-04-28,6.1,17.28,266.67,1.46,"4,183.18","3,787,360,000"
2021-04-29,6.1,17.61,266.67,1.49,"4,211.47","4,298,680,000"
2021-04-30,6.1,18.61,266.67,1.49,"4,181.17","4,300,880,000"
2021-05-03,5.8,18.31,268.444,1.47,"4,192.66","4,070,220,000"
2021-05-04,5.8,19.48,268.444,1.45,"4,164.66","4,452,460,000"
2021-05-05,5.8,19.15,268.444,1.43,"4,167.59","4,230,920,000"
2021-05-06,5.8,18.39,268.444,1.42,"4,201.62","4,511,000,000"
2021-05-07,5.8,16.69,268.444,1.46,"4,232.60","4,016,080,000"
2021-05-10,5.8,19.66,268.444,1.47,"4,188.43","4,560,700,000"
2021-05-11,5.8,21.84,268.444,1.48,"4,152.10","4,870,710,000"
2021-05-12,5.8,27.59,268.444,1.53,"4,063.04","4,733,070,000"
2021-05-13,5.8,23.13,268.444,1.5,"4,112.50","4,779,540,000"
2021-05-14,5.8,18.81,268.444,1.47,"4,173.85","4,008,880,000"
2021-05-17,5.8,19.72,268.444,1.48,"4,163.29","4,125,050,000"
2021-05-18,5.8,21.34,268.444,1.48,"4,127.83","4,398,150,000"
2021-05-19,5.8,22.18,268.444,1.52,"4,115.68","4,247,450,000"
2021-05-20,5.8,20.67,268.444,1.48,"4,159.12","3,978,880,000"
2021-05-21,5.8,20.15,268.444,1.46,"4,155.86","3,995,250,000"
2021-05-25,5.8,18.84,268.444,1.41,"4,188.13","4,182,250,000"
2021-05-26,5.8,17.36,268.444,1.44,"4,195.99","4,420,890,000"
2021-05-27,5.8,16.74,268.444,1.47,"4,200.88","6,406,310,000"
2021-05-28,5.8,16.76,268.444,1.44,"4,204.11","4,649,250,000"
2021-05-31,5.8,.,268.444,.,"4,204.11","4,649,250,000"
2021-06-01,5.9,17.9,270.559,1.46,"4,202.04","5,074,670,000"
2021-06-02,5.9,17.48,270.559,1.46,"4,208.12","5,833,670,000"
2021-06-03,5.9,18.04,270.559,1.47,"4,192.85","5,587,970,000"
2021-06-04,5.9,16.42,270.559,1.42,"4,229.89","4,139,790,000"
2021-06-07,5.9,16.42,270.559,1.41,"4,226.52","4,476,920,000"
